Unit Code,Unit Title,Dept,Value,Link code,Instance
I00462,U3025PYC | BSc (Hons) Sociology with Criminology | Year 2 | Semester 1,SASSHPL,0,I00462,Sem1
I00462,U3025PYC | BSc (Hons) Sociology with Criminology | Year 2 | Semester 1,SASSHPL,0,I00462,Sem2
I00463,U3025PYC | BSc (Hons) Sociology with Criminology | Year 3 | Semester 1,SASSHPL,0,I00463,Sem1
I00463,U3025PYC | BSc (Hons) Sociology with Criminology | Year 3 | Semester 1,SASSHPL,0,I00463,Sem2
I00464,U1509PYC | BSc (Hons) Sociology with Psychology | Year 1 | Semester 1,SASSHPL,0,I00464,Sem1
I00464,U1509PYC | BSc (Hons) Sociology with Psychology | Year 1 | Semester 1,SASSHPL,0,I00464,Sem2
I00465,U1509PYC | BSc (Hons) Sociology with Psychology | Year 2 | Semester 1,SASSHPL,0,I00465,Sem1
I00465,U1509PYC | BSc (Hons) Sociology with Psychology | Year 2 | Semester 1,SASSHPL,0,I00465,Sem2
I00466,U1509PYC | BSc (Hons) Sociology with Psychology | Year 3 | Semester 1,SASSHPL,0,I00466,Sem1
I00466,U1509PYC | BSc (Hons) Sociology with Psychology | Year 3 | Semester 1,SASSHPL,0,I00466,Sem2
I00467,U0968PYC | BSc (Hons) Software Engineering | Year 1 | Semester 1,COMP,0,I00467,Sem1
I00467,U0968PYC | BSc (Hons) Software Engineering | Year 1 | Semester 1,COMP,0,I00467,Sem2
I00468,U0968PYC | BSc (Hons) Software Engineering | Year 2 | Semester 1,COMP,0,I00468,Sem1
I00468,U0968PYC | BSc (Hons) Software Engineering | Year 2 | Semester 1,COMP,0,I00468,Sem2
I00469,U0968PYC | BSc (Hons) Software Engineering | Year 3 | Semester 1,COMP,0,I00469,Sem1
I00469,U0968PYC | BSc (Hons) Software Engineering | Year 3 | Semester 1,COMP,0,I00469,Sem2
I00470,U2605PYC | BSc (Hons) Sport and Exercise Psychology | Year 1 | Semester 1,SHES,0,I00470,Sem1
I00470,U2605PYC | BSc (Hons) Sport and Exercise Psychology | Year 1 | Semester 1,SHES,0,I00470,Sem2
I00471,U2605PYC | BSc (Hons) Sport and Exercise Psychology | Year 2 | Semester 1,SHES,0,I00471,Sem1
I00471,U2605PYC | BSc (Hons) Sport and Exercise Psychology | Year 2 | Semester 1,SHES,0,I00471,Sem2
I00472,U2605PYC | BSc (Hons) Sport and Exercise Psychology | Year 3 | Semester 1,SHES,0,I00472,Sem1
