Unit Code,Unit Title,Dept,Value,Link code,Instance
I00327,U2734PYC | BSc (Hons) Creative Media Technologies | Year 3 | Semester 1,CTS,0,I00327,Sem1
I00327,U2734PYC | BSc (Hons) Creative Media Technologies | Year 3 | Semester 1,CTS,0,I00327,Sem2
I00328,N3248FTC | BSc (Hons) Counter Terrorism Intelligence and Cybercrime | Year 1 | S,CTS,0,I00328,Sem1
I00328,N3248FTC | BSc (Hons) Counter Terrorism Intelligence and Cybercrime | Year 1 | S,CTS,0,I00328,Sem2
I00328,N3248FTC | BSc (Hons) Counter Terrorism Intelligence and Cybercrime | Year 1 | S,SCCJ,0,I00328,Sem1
I00328,N3248FTC | BSc (Hons) Counter Terrorism Intelligence and Cybercrime | Year 1 | S,SCCJ,0,I00328,Sem2
I00329,U0586PYC | BSc (Hons) Criminology and Criminal Justice | Year 1 | Semester 1,SCCJ,0,I00329,Sem1
I00329,U0586PYC | BSc (Hons) Criminology and Criminal Justice | Year 1 | Semester 1,SCCJ,0,I00329,Sem2
I00330,U0586PYC | BSc (Hons) Criminology and Criminal Justice | Year 2 | Semester 1,SCCJ,0,I00330,Sem1
I00330,U0586PYC | BSc (Hons) Criminology and Criminal Justice | Year 2 | Semester 1,SCCJ,0,I00330,Sem2
I00331,U0586PYC | BSc (Hons) Criminology and Criminal Justice | Year 3 | Semester 1,SCCJ,0,I00331,Sem1
I00331,U0586PYC | BSc (Hons) Criminology and Criminal Justice | Year 3 | Semester 1,SCCJ,0,I00331,Sem2
I00332,U3249PTD | BSc (Hons) Criminology and Criminal Justice (Distance Learning) | Yea,SCCJ,0,I00332,Sem1
I00332,U3249PTD | BSc (Hons) Criminology and Criminal Justice (Distance Learning) | Yea,SCCJ,0,I00332,Sem2
I00333,U3249PTD | BSc (Hons) Criminology and Criminal Justice (Distance Learning) | Yea,SCCJ,0,I00333,Sem1
I00333,U3249PTD | BSc (Hons) Criminology and Criminal Justice (Distance Learning) | Yea,SCCJ,0,I00333,Sem2
I00334,U3249PTD | BSc (Hons) Criminology and Criminal Justice (Distance Learning) | Yea,SCCJ,0,I00334,Sem1
I00334,U3249PTD | BSc (Hons) Criminology and Criminal Justice (Distance Learning) | Yea,SCCJ,0,I00334,Sem2
